d,num_samples,sample_size_per_condition,percent_ns,mean_1,mean_2,sd,true_d,sig_counter,mean_d_sigonly,mean_d_sig_percent,mean_d_all
0.47000000000000003,20000,200,0,100,107.05,15,0.4699999999999998,19934,0.4707902690185533,0.4707902690185533,0.46980661872935153
0.48,20000,200,0,100,107.2,15,0.4800000000000002,19957,0.48177992937445424,0.48177992937445424,0.4811147835598231
0.49,20000,200,0,100,107.35,15,0.4899999999999996,19962,0.4913614602125698,0.4913614602125698,0.4907371604281573
0.5,20000,200,0,100,107.5,15,0.5,19980,0.5022625475561946,0.5022625475561946,0.5019331596866932
0.51,20000,200,0,100,107.65,15,0.5100000000000003,19983,0.5104296753816748,0.5104296753816748,0.5101385798156778
0.52,20000,200,0,100,107.8,15,0.5199999999999998,19985,0.5215311265458481,0.5215311265458481,0.5212643043543252
0.53,20000,200,0,100,107.95,15,0.5300000000000001,19988,0.5299628347702461,0.5299628347702461,0.529746287382679
0.54,20000,200,0,100,108.1,15,0.5399999999999996,19996,0.5413687860870581,0.5413687860870581,0.5412957241233255
0.55,20000,200,0,100,108.25,15,0.55,19996,0.5517674565851741,0.5517674565851741,0.5516894911917282
0.56,20000,200,0,100,108.4,15,0.5600000000000004,19999,0.5605019221235535,0.5605019221235535,0.5604835528253514
0.5700000000000001,20000,200,0,100,108.55,15,0.5699999999999998,19997,0.5704809233657716,0.5704809233657716,0.5704228500010757
0.58,20000,200,0,100,108.7,15,0.5800000000000002,19999,0.581625832939022,0.581625832939022,0.5816052887429234
0.59,20000,200,0,100,108.85,15,0.5899999999999996,19998,0.5916750501361052,0.5916750501361052,0.5916324275133229
0.6,20000,200,0,100,109,15,0.6,20000,0.601313393216614,0.601313393216614,0.601313393216614
0.61,20000,200,0,100,109.15,15,0.6100000000000004,20000,0.6108326094663451,0.6108326094663451,0.6108326094663451
0.62,20000,200,0,100,109.3,15,0.6199999999999998,20000,0.6211999208119535,0.6211999208119535,0.6211999208119535
0.63,20000,200,0,100,109.45,15,0.6300000000000002,19999,0.6311623602895208,0.6311623602895208,0.6311390763654119
0.64,20000,200,0,100,109.6,15,0.6399999999999996,20000,0.6409621747258685,0.6409621747258685,0.6409621747258685
0.65,20000,200,0,100,109.75,15,0.65,20000,0.6516584966595156,0.6516584966595156,0.6516584966595156
0.66,20000,200,0,100,109.9,15,0.6600000000000004,20000,0.6605393354775413,0.6605393354775413,0.6605393354775413
0.67,20000,200,0,100,110.05,15,0.6699999999999998,20000,0.6712494053570287,0.6712494053570287,0.6712494053570287
0.68,20000,200,0,100,110.2,15,0.6800000000000002,20000,0.6795373567185725,0.6795373567185725,0.6795373567185725
0.6900000000000001,20000,200,0,100,110.35,15,0.6899999999999996,20000,0.6918809303421022,0.6918809303421022,0.6918809303421022
0.7000000000000001,20000,200,0,100,110.5,15,0.7,20000,0.7005671100505628,0.7005671100505628,0.7005671100505628
0.71,20000,200,0,100,110.65,15,0.7100000000000004,20000,0.7104163459978563,0.7104163459978563,0.7104163459978563
0.72,20000,200,0,100,110.8,15,0.7199999999999999,20000,0.7201332144137911,0.7201332144137911,0.7201332144137911
0.73,20000,200,0,100,110.95,15,0.7300000000000002,20000,0.7322010504678749,0.7322010504678749,0.7322010504678749
0.74,20000,200,0,100,111.1,15,0.7399999999999997,20000,0.7416555827343723,0.7416555827343723,0.7416555827343723
0.75,20000,200,0,100,111.25,15,0.75,20000,0.7507046955083269,0.7507046955083269,0.7507046955083269
0.76,20000,200,0,100,111.4,15,0.7600000000000003,20000,0.7612167837300565,0.7612167837300565,0.7612167837300565
0.77,20000,200,0,100,111.55,15,0.7699999999999998,20000,0.7713989528082993,0.7713989528082993,0.7713989528082993
0.78,20000,200,0,100,111.7,15,0.7800000000000001,20000,0.7815872305009796,0.7815872305009796,0.7815872305009796
0.79,20000,200,0,100,111.85,15,0.7899999999999996,20000,0.7921235898687311,0.7921235898687311,0.7921235898687311
0.8,20000,200,0,100,112,15,0.8,20000,0.8023832462788947,0.8023832462788947,0.8023832462788947
0.81,20000,200,0,100,112.15,15,0.8100000000000004,20000,0.8124609821866675,0.8124609821866675,0.8124609821866675
0.8200000000000001,20000,200,0,100,112.3,15,0.8199999999999998,20000,0.8214003749362555,0.8214003749362555,0.8214003749362555
0.8300000000000001,20000,200,0,100,112.45,15,0.8300000000000002,20000,0.8301158730570349,0.8301158730570349,0.8301158730570349
0.84,20000,200,0,100,112.6,15,0.8399999999999996,20000,0.8405677186167638,0.8405677186167638,0.8405677186167638
0.85,20000,200,0,100,112.75,15,0.85,20000,0.850783714631806,0.850783714631806,0.850783714631806
0.86,20000,200,0,100,112.9,15,0.8600000000000004,20000,0.8615019077600106,0.8615019077600106,0.8615019077600106
0.87,20000,200,0,100,113.05,15,0.8699999999999998,20000,0.8720750854315067,0.8720750854315067,0.8720750854315067
0.88,20000,200,0,100,113.2,15,0.8800000000000002,20000,0.8817991858076617,0.8817991858076617,0.8817991858076617
0.89,20000,200,0,100,113.35,15,0.8899999999999996,20000,0.8917565450441572,0.8917565450441572,0.8917565450441572
0.9,20000,200,0,100,113.5,15,0.9,20000,0.9019315444455446,0.9019315444455446,0.9019315444455446
0.91,20000,200,0,100,113.65,15,0.9100000000000004,20000,0.9112951615594531,0.9112951615594531,0.9112951615594531
0.92,20000,200,0,100,113.8,15,0.9199999999999998,20000,0.9207358911804591,0.9207358911804591,0.9207358911804591
0.93,20000,200,0,100,113.95,15,0.9300000000000002,20000,0.9311670609124241,0.9311670609124241,0.9311670609124241
0.9400000000000001,20000,200,0,100,114.1,15,0.9399999999999996,20000,0.9403117286306407,0.9403117286306407,0.9403117286306407
0.9500000000000001,20000,200,0,100,114.25,15,0.95,20000,0.9521751380499164,0.9521751380499164,0.9521751380499164
0.96,20000,200,0,100,114.4,15,0.9600000000000004,20000,0.9617151609520207,0.9617151609520207,0.9617151609520207
0.97,20000,200,0,100,114.55,15,0.9699999999999999,20000,0.9709591531451547,0.9709591531451547,0.9709591531451547
0.98,20000,200,0,100,114.7,15,0.9800000000000002,20000,0.9824099674405234,0.9824099674405234,0.9824099674405234
0.99,20000,200,0,100,114.85,15,0.9899999999999997,20000,0.9926107989882443,0.9926107989882443,0.9926107989882443
1,20000,200,0,100,115,15,1,20000,1.0019882662572146,1.0019882662572146,1.0019882662572146
1.01,20000,200,0,100,115.15,15,1.0100000000000005,20000,1.0105473722091696,1.0105473722091696,1.0105473722091696
1.02,20000,200,0,100,115.3,15,1.0199999999999998,20000,1.0229146982198951,1.0229146982198951,1.0229146982198951
1.03,20000,200,0,100,115.45,15,1.0300000000000002,20000,1.0324773762125652,1.0324773762125652,1.0324773762125652
1.04,20000,200,0,100,115.6,15,1.0399999999999996,20000,1.041039917275064,1.041039917275064,1.041039917275064
1.05,20000,200,0,100,115.75,15,1.05,20000,1.0506322098544096,1.0506322098544096,1.0506322098544096
1.06,20000,200,0,100,115.9,15,1.0600000000000003,20000,1.0603957195426583,1.0603957195426583,1.0603957195426583
1.07,20000,200,0,100,116.05,15,1.0699999999999998,20000,1.0715330475438156,1.0715330475438156,1.0715330475438156
1.08,20000,200,0,100,116.2,15,1.0800000000000003,20000,1.0822010638634736,1.0822010638634736,1.0822010638634736
1.09,20000,200,0,100,116.35,15,1.0899999999999996,20000,1.0917791599401345,1.0917791599401345,1.0917791599401345
1.1,20000,200,0,100,116.5,15,1.1,20000,1.1011429072896453,1.1011429072896453,1.1011429072896453
1.11,20000,200,0,100,116.65,15,1.1100000000000003,20000,1.1130036450589424,1.1130036450589424,1.1130036450589424
1.12,20000,200,0,100,116.8,15,1.1199999999999999,20000,1.1218434538218998,1.1218434538218998,1.1218434538218998
1.1300000000000001,20000,200,0,100,116.95,15,1.1300000000000001,20000,1.1333898110629685,1.1333898110629685,1.1333898110629685
1.1400000000000001,20000,200,0,100,117.1,15,1.1399999999999997,20000,1.1427949512221733,1.1427949512221733,1.1427949512221733
1.1500000000000001,20000,200,0,100,117.25,15,1.15,20000,1.1501705344013335,1.1501705344013335,1.1501705344013335
1.16,20000,200,0,100,117.4,15,1.1600000000000004,20000,1.1611469300973885,1.1611469300973885,1.1611469300973885
1.17,20000,200,0,100,117.55,15,1.1699999999999997,20000,1.1709689705226871,1.1709689705226871,1.1709689705226871
1.18,20000,200,0,100,117.7,15,1.1800000000000002,20000,1.1836157972924277,1.1836157972924277,1.1836157972924277
1.19,20000,200,0,100,117.85,15,1.1899999999999997,20000,1.192907516927656,1.192907516927656,1.192907516927656
1.2,20000,200,0,100,118,15,1.2,20000,1.2029175330914246,1.2029175330914246,1.2029175330914246
1.21,20000,200,0,100,118.15,15,1.2100000000000004,20000,1.2122453959406685,1.2122453959406685,1.2122453959406685
1.22,20000,200,0,100,118.3,15,1.2199999999999998,20000,1.2215620867031853,1.2215620867031853,1.2215620867031853
1.23,20000,200,0,100,118.45,15,1.2300000000000002,20000,1.232378741179821,1.232378741179821,1.232378741179821
1.24,20000,200,0,100,118.6,15,1.2399999999999995,20000,1.2439370035388861,1.2439370035388861,1.2439370035388861
1.25,20000,200,0,100,118.75,15,1.25,20000,1.2528115052134758,1.2528115052134758,1.2528115052134758
1.26,20000,200,0,100,118.9,15,1.2600000000000005,20000,1.2624376502532912,1.2624376502532912,1.2624376502532912
1.27,20000,200,0,100,119.05,15,1.2699999999999998,20000,1.2723709229800462,1.2723709229800462,1.2723709229800462
1.28,20000,200,0,100,119.2,15,1.2800000000000002,20000,1.2804545947132735,1.2804545947132735,1.2804545947132735
1.29,20000,200,0,100,119.35,15,1.2899999999999996,20000,1.2928227061345503,1.2928227061345503,1.2928227061345503
1.3,20000,200,0,100,119.5,15,1.3,20000,1.3009521779171527,1.3009521779171527,1.3009521779171527
1.31,20000,200,0,100,119.65,15,1.3100000000000003,20000,1.31182741838996,1.31182741838996,1.31182741838996
